i,j,jaccard_est,title_i,title_j
185,689,1.0,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Satur,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Satur
496,1873,1.0,CereCore® expands healthcare technology services into the UK,CereCore expands healthcare technology services into the UK
1221,1486,1.0,411 is going out of service for millions of Americans,411 is going out of service for millions of Americans
932,1421,0.958,Why Operators Need a Full-Service Technology Partner,Restaurant Tech: Why Operators Need a Full-Service Technology Partner
1337,1824,0.958,411 phone number is going out of service for millions of Americans,411 is going out of service for millions of Americans
1576,1676,0.854,Stock market today: Wall Street is mixed; Big Tech climbs,Stock market today: Wall Street is mixed; Big Tech climbs
788,1557,0.854,Fidelity National Information Services (FIS) Stock Moves -0.9%: What Y,Fidelity National Information Services (FIS) Stock Moves -0.9%: What Y
21,888,0.833,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech ,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech 
439,1452,0.833,Degrees & Pathways,Human Services Technology: Addiction and Recovery Studies AAS
214,714,0.833,Yonyou Auto Information Technology (Shanghai) Co. Ltd.,Information Services Group Inc.
737,1758,0.823,US announces criminal cases involving flow of technology information t,US Announces Criminal Cases Involving Flow of Technology Information t
426,767,0.812,Alight launches new behavioral health navigation services aimed at sup,Alight launches new behavioral health navigation services aimed at sup
473,1580,0.802,L T Technology Services and Qualcomm Selected by Thales for Enabling 5,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5
1317,1843,0.792,Best VoIP Services (July 2023),Best VoIP Services (October 2023)
468,533,0.792,Information Services Group Inc. (NASDAQ:III) is a favorite amongst ins,Information Services Group Inc. (NASDAQ:III) is a favorite amongst ins
1784,1945,0.792,Knicks rally to beat Pacers 109-106 for 7th straight victory,Knicks rally to beat Pacers 109-106 for 7th straight victory
1238,1243,0.771,Exclusive: Amazon has drawn thousands to try its AI service competing ,Amazon has drawn thousands to try its AI service competing with Micros
159,1580,0.75,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5
1051,2102,0.74,Who keeps calling me? Look up numbers flagged as potential robocalls o,Who keeps calling me? Look up numbers flagged as potential robo-calls 
571,1503,0.74,The Institution of Engineering and Technology (IET) successfully concl,The Institution of Engineering and Technology (IET) successfully concl
1184,1758,0.729,US announces criminal cases involving flow of technology information t,US Announces Criminal Cases Involving Flow of Technology Information t
552,1267,0.729,What are some of the latest trends and innovations in VPN technology a,What are some of the latest trends and innovations in VPN technology a
1199,1468,0.729,CBS Essentials: Tech,CBS Essentials: Tech
1075,1514,0.729,Dragos Launches OT Cyber Industry’s Only Global Partner Program to Spa,Dragos Launches OT Cyber Industry''s Only Global Partner Program to Sp
